Manufacturer_ID,Manufacturer_Name,Parent_Company
M_4510126a,Colgate-Palmolive,Colgate-Palmolive
M_e7f043b8,Procter & Gamble,Procter & Gamble
M_61474790,Haleon,Haleon
M_e17504e8,Ludovico Martelli,Ludovico Martelli
M_69e88568,Curaden,Curaden
M_79e805de,Unilever,Unilever
M_45d90278,Himalaya Wellness,Himalaya Wellness
M_79948b7a,Dabur,Dabur
M_ae54b764,Vicco Laboratories,Vicco Laboratories
M_38d0f342,Lion Corporation,Lion Corporation
M_a6e8fe60,Sunstar,Sunstar
M_74bfd523,Sangi,Sangi
M_050e556e,GC Corporation,GC Corporation
M_aae2314c,Church & Dwight,Church & Dwight
M_9c74a38e,Dr. Bronner's,Dr. Bronner's
M_e48f0eeb,Davids Natural Toothpaste,Davids Natural Toothpaste
M_2e94c7df,Boka,Boka
