Product_ID,Ingredient_Count,Active_Ingredient_Count,Sustainability_Score
COL001,1,1,50
COL002,1,1,50
COL003,1,1,50
COL004,1,1,50
COL005,1,1,50
COL006,1,1,50
COL007,1,1,50
COL008,1,1,50
COL009,1,1,50
COL010,1,1,50
COL011,1,1,50
COL012,1,1,50
COL013,1,1,50
COL014,1,1,50
COL015,1,1,50
CRE001,1,1,50
CRE002,1,1,50
CRE003,1,1,50
CRE004,1,1,50
CRE005,1,1,50
CRE006,1,1,50
CRE007,1,1,50
CRE008,1,1,50
CRE009,1,1,50
CRE010,1,1,50
CRE011,1,1,50
CRE012,1,1,50
CRE013,1,1,50
CRE014,1,1,50
CRE015,1,1,50
ORB001,1,1,50
ORB002,1,1,50
ORB003,1,1,50
ORB004,1,1,50
ORB005,1,1,50
ORB006,1,1,50
ORB007,1,1,50
ORB008,1,1,50
SEN001,1,1,50
SEN002,1,1,50
SEN003,1,1,50
SEN004,1,1,50
SEN005,1,1,50
SEN006,1,1,50
SEN007,1,1,50
SEN008,1,1,50
SEN009,1,1,50
SEN010,1,1,50
SEN011,1,1,50
SEN012,1,1,50
PAR001,1,1,50
PAR002,1,1,50
PAR003,1,1,50
PAR004,1,1,50
PAR005,1,1,50
PAR006,1,1,50
AQU001,1,1,50
AQU002,1,1,50
AQU003,1,1,50
AQU004,1,1,50
AQU005,1,1,50
AQU006,1,1,50
AQU007,1,1,50
BIO001,1,1,50
BIO002,1,1,50
BIO003,1,1,50
BIO004,1,1,50
ELM001,1,1,50
ELM002,1,1,50
ELM003,1,1,50
ELM004,1,1,50
ELM005,1,1,50
ELM006,1,1,50
MER001,1,1,50
MER002,1,1,50
MER003,1,1,50
MER004,1,1,50
TOM001,1,1,50
TOM002,1,1,50
TOM003,1,1,50
TOM004,1,1,50
TOM005,1,1,50
TOM006,1,1,50
TOM007,1,1,50
TOM008,1,1,50
TOM009,1,1,50
TOM010,1,1,50
HEL001,1,1,50
HEL002,1,1,50
HEL003,1,1,50
HEL004,1,1,50
HEL005,1,1,50
HEL006,1,1,50
HEL007,1,1,50
MAR001,1,1,50
MAR002,1,1,50
MAR003,1,1,50
MAR004,1,1,50
MAR005,1,1,50
MAR006,1,1,50
MAR007,1,1,50
MAR008,1,1,50
CUR001,1,1,50
CUR002,1,1,50
CUR003,1,1,50
CUR004,1,1,50
CUR005,1,1,50
CUR006,1,1,50
CUR007,1,1,50
CUR008,1,1,50
ZEN001,1,1,50
ZEN002,1,1,50
ZEN003,1,1,50
ZEN004,1,1,50
ZEN005,1,1,50
SIG001,1,1,50
SIG002,1,1,50
SIG003,1,1,50
SIG004,1,1,50
SIG005,1,1,50
SIG006,1,1,50
SIG007,1,1,50
SIG008,1,1,50
CLO001,1,1,50
CLO002,1,1,50
CLO003,1,1,50
CLO004,1,1,50
CLO005,1,1,50
CLO006,1,1,50
PEP001,1,1,50
PEP002,1,1,50
PEP003,1,1,50
PEP004,1,1,50
PEP005,1,1,50
PEP006,1,1,50
PEP007,1,1,50
PEP008,1,1,50
HIM001,1,1,50
HIM002,1,1,50
HIM003,1,1,50
HIM004,1,1,50
HIM005,1,1,50
HIM006,1,1,50
HIM007,1,1,50
HIM008,1,1,50
DAB001,1,1,50
DAB002,1,1,50
DAB003,1,1,50
DAB004,1,1,50
VIC001,1,1,50
VIC002,1,1,50
VIC003,1,1,50
LIO001,1,1,50
LIO002,1,1,50
LIO003,1,1,50
LIO004,1,1,50
LIO005,1,1,50
ORA001,1,1,50
ORA002,1,1,50
ORA003,1,1,50
ORA004,1,1,50
ORA005,1,1,50
GUM001,1,1,50
GUM002,1,1,50
GUM003,1,1,50
GUM004,1,1,50
GUM005,1,1,50
GUM006,1,1,50
APA001,1,1,50
APA002,1,1,50
APA003,1,1,50
APA004,1,1,50
GCT001,1,1,50
GCT002,1,1,50
GCT003,1,1,50
ARM001,1,1,50
ARM002,1,1,50
ARM003,1,1,50
ARM004,1,1,50
ARM005,1,1,50
ARM006,1,1,50
ARM007,1,1,50
ARM008,1,1,50
DRB001,1,1,50
DRB002,1,1,50
DRB003,1,1,50
DAV001,1,1,50
DAV002,1,1,50
DAV003,1,1,50
DAV004,1,1,50
BOK001,1,1,50
BOK002,1,1,50
BOK003,1,1,50
BOK004,1,1,50
