Product_ID,Ingredient_ID,Concentration_Percentage,Fluoride_ppm
COL001,I_c9f31ad9,,
COL002,I_a0d4a21f,,
COL003,I_c9f31ad9,,
COL004,I_c9f31ad9,,
COL005,I_a0d4a21f,,
COL006,I_a0d4a21f,,
COL007,I_a0d4a21f,,
COL008,I_a0d4a21f,,
COL009,I_a0d4a21f,,
COL010,I_a0d4a21f,,
COL011,I_a0d4a21f,,
COL012,I_a0d4a21f,,
COL013,I_a0d4a21f,,
COL014,I_c9f31ad9,,
CRE001,I_c9f31ad9,,
CRE002,I_c9f31ad9,,
CRE003,I_a0d4a21f,,
CRE004,I_a0d4a21f,,
CRE005,I_c9f31ad9,,
CRE006,I_c9f31ad9,,
CRE007,I_a0d4a21f,,
CRE008,I_a0d4a21f,,
CRE009,I_a0d4a21f,,
CRE010,I_a0d4a21f,,
CRE011,I_a0d4a21f,,
CRE012,I_a0d4a21f,,
CRE013,I_c9f31ad9,,
CRE014,I_a0d4a21f,,
CRE015,I_c9f31ad9,,
ORB001,I_a0d4a21f,,
ORB002,I_c9f31ad9,,
ORB003,I_c9f31ad9,,
ORB004,I_c9f31ad9,,
ORB005,I_a0d4a21f,,
ORB006,I_c9f31ad9,,
ORB007,I_c9f31ad9,,
ORB008,I_a0d4a21f,,
SEN001,I_c9f31ad9,,
SEN002,I_c9f31ad9,,
SEN003,I_a0d4a21f,,
SEN004,I_a0d4a21f,,
SEN005,I_a0d4a21f,,
SEN006,I_c9f31ad9,,
SEN007,I_c9f31ad9,,
SEN008,I_a0d4a21f,,
SEN009,I_a0d4a21f,,
SEN010,I_a0d4a21f,,
SEN011,I_a0d4a21f,,
SEN012,I_a0d4a21f,,
PAR001,I_a0d4a21f,,
PAR002,I_a0d4a21f,,
PAR003,I_a0d4a21f,,
PAR004,I_a0d4a21f,,
PAR005,I_c9f31ad9,,
PAR006,I_c9f31ad9,,
AQU001,I_a0d4a21f,,
AQU002,I_a0d4a21f,,
AQU003,I_a0d4a21f,,
AQU004,I_a0d4a21f,,
AQU005,I_a0d4a21f,,
AQU006,I_a0d4a21f,,
AQU007,I_a0d4a21f,,
BIO001,I_a0d4a21f,,
BIO002,I_a0d4a21f,,
BIO003,I_a0d4a21f,,
BIO004,I_a0d4a21f,,
ELM001,I_b58cf1a5,,
ELM002,I_b58cf1a5,,
ELM003,I_b58cf1a5,,
ELM004,I_a2cb1099,,
ELM005,I_b58cf1a5,,
ELM006,I_b58cf1a5,,
MER001,I_1e5c54ba,,
MER002,I_1e5c54ba,,
MER003,I_1e5c54ba,,
MER004,I_1e5c54ba,,
TOM001,I_a0d4a21f,,
TOM002,I_a0d4a21f,,
TOM003,I_a0d4a21f,,
TOM005,I_a0d4a21f,,
TOM007,I_a0d4a21f,,
TOM008,I_a0d4a21f,,
TOM009,I_a0d4a21f,,
HEL001,I_a0d4a21f,,
HEL004,I_a0d4a21f,,
HEL006,I_a0d4a21f,,
MAR001,I_a0d4a21f,,
MAR002,I_a0d4a21f,,
MAR003,I_a0d4a21f,,
MAR004,I_a0d4a21f,,
MAR005,I_a0d4a21f,,
MAR006,I_a0d4a21f,,
MAR007,I_a0d4a21f,,
MAR008,I_a0d4a21f,,
CUR001,I_a0d4a21f,,
CUR002,I_a0d4a21f,,
CUR003,I_a0d4a21f,,
CUR004,I_a0d4a21f,,
CUR005,I_a0d4a21f,,
CUR006,I_a0d4a21f,,
CUR007,I_a0d4a21f,,
CUR008,I_a0d4a21f,,
ZEN001,I_a0d4a21f,,
ZEN002,I_a0d4a21f,,
ZEN003,I_a0d4a21f,,
ZEN004,I_a0d4a21f,,
ZEN005,I_a0d4a21f,,
SIG001,I_a0d4a21f,,
SIG002,I_a0d4a21f,,
SIG003,I_a0d4a21f,,
SIG004,I_a0d4a21f,,
SIG005,I_a0d4a21f,,
SIG006,I_a0d4a21f,,
SIG007,I_a0d4a21f,,
SIG008,I_a0d4a21f,,
CLO001,I_a0d4a21f,,
CLO002,I_a0d4a21f,,
CLO003,I_a0d4a21f,,
CLO004,I_a0d4a21f,,
CLO005,I_a0d4a21f,,
CLO006,I_a0d4a21f,,
PEP001,I_a0d4a21f,,
PEP002,I_a0d4a21f,,
PEP003,I_a0d4a21f,,
PEP004,I_a0d4a21f,,
PEP005,I_a0d4a21f,,
PEP006,I_a0d4a21f,,
PEP008,I_a0d4a21f,,
DAB001,I_a0d4a21f,,
DAB004,I_a0d4a21f,,
LIO001,I_a0d4a21f,,
LIO002,I_a0d4a21f,,
LIO003,I_a0d4a21f,,
LIO004,I_a0d4a21f,,
LIO005,I_a0d4a21f,,
ORA001,I_a0d4a21f,,
ORA002,I_a0d4a21f,,
ORA003,I_a0d4a21f,,
ORA004,I_a0d4a21f,,
ORA005,I_a0d4a21f,,
GUM002,I_a0d4a21f,,
GUM003,I_a0d4a21f,,
GUM004,I_a0d4a21f,,
GUM005,I_a0d4a21f,,
GUM006,I_a0d4a21f,,
APA003,I_a0d4a21f,,
APA004,I_a0d4a21f,,
GCT002,I_a0d4a21f,,
GCT003,I_a0d4a21f,,
ARM001,I_a0d4a21f,,
ARM002,I_a0d4a21f,,
ARM003,I_a0d4a21f,,
ARM004,I_a0d4a21f,,
ARM005,I_a0d4a21f,,
ARM006,I_a0d4a21f,,
ARM007,I_a0d4a21f,,
ARM008,I_a0d4a21f,,
DAV001,I_a0d4a21f,,
DAV003,I_a0d4a21f,,
DAV004,I_a0d4a21f,,
